CampusKey,SiteKey,kWp,Number of panels,Panel,Inverter,Optimizers,Metric,lat,Lon
2,1,,,,,,,-36.11120917,146.8486788
2,2,,,,,,,-36.11120917,146.8486788
2,3,,,,,,,-36.11120917,146.8486788
2,4,,,,,,,-36.11120917,146.8486788
2,5,,,,,,,-36.11120917,146.8486788
3,6,,,,,,,-36.77885832,144.3012321
3,7,,,,,,,-36.77885832,144.3012321
3,8,,,,,,,-36.77885832,144.3012321
3,9,,,,,,,-36.77885832,144.3012321
3,10,,,,,,,-36.77885832,144.3012321
3,11,,,,,,,-36.77885832,144.3012321
3,12,,,,,,,-36.77885832,144.3012321
3,13,,,,,,,-36.77885832,144.3012321
1,14,66.0,200.0,Trina 330W,2 x SolarEdge SE27.6K,100 x P730,kWh,-37.71828652,145.0509752
1,15,94.24,304.0,Trina 310W,1 x SolarEdge SE82.8K,152 x P700,kWh,-37.71828652,145.0509752
1,16,30.0,115.38,TBD,SMA,,kWh,-37.71828652,145.0509752
1,17,45.26,146.0,Trina 310W,1 x SolarEdge SE25K + 1 x SolarEdge SE15K,77 x P730,kWh,-37.71828652,145.0509752
1,18,167.97,509.0,Trina 330W,3 x SolarEdge SE50K,255 x P730,kWh,-37.71828652,145.0509752
1,19,34.32,104.0,Trina 330W,1 x SolarEdge SE27.6K,53 x P700,kWh,-37.71828652,145.0509752
1,20,77.22,234.0,Trina 330W,2 x SolarEdge SE25K + 1 x SolarEdge SE15K,117 x P730,kWh,-37.71828652,145.0509752
1,21,39.27,119.0,Trina 330W,2 x SolarEdge SE17K,61 x P730,kWh,-37.71828652,145.0509752
1,22,72.27,219.0,Trina 330W,1 x SolarEdge SE82.8K,110 x P730,kWh,-37.71828652,145.0509752
1,23,58.9,190.0,Trina 310W,1 x SolarEdge SE50K,97 x P700,kWh,-37.71828652,145.0509752
1,24,40.26,122.0,Trina 330W,1 x SolarEdge SE82.8K,61 x P730,kWh,-37.71828652,145.0509752
1,25,384.12,1164.0,Trina 330W,4 x SolarEdge SE82.8K,584 x P730,kWh,-37.71828652,145.0509752
1,26,38.94,118.0,Trina 330W,1 x SolarEdge SE17K + 1 x SolarEdge SE15K,59 x P730,kWh,-37.71828652,145.0509752
1,27,539.8,1240.92,SunpowerSPR-E20-435-COM,5 X ABB,,kWh,-37.71828652,145.0509752
1,28,,,,,,,-37.71828652,145.0509752
1,29,,,,,,,-37.71828652,145.0509752
1,30,42.16,136.0,Trina 310W,2 x SolarEdge SE17K,74 x P700,kWh,-37.71828652,145.0509752
1,31,76.23,231.0,Trina 330W,2 x SolarEdge SE25K + 1 x SolarEdge SE15K,116 x P730,kWh,-37.71828652,145.0509752
1,32,35.64,108.0,Trina 330W,2 x SolarEdge SE15K,58 x P730,kWh,-37.71828652,145.0509752
1,33,87.78,266.0,Trina 330W,1 x SolarEdge SE82.8K,133 x P730,kWh,-37.71828652,145.0509752
1,34,21.39,69.0,Trina 310W,1 x SolarEdge SE17K,35 x P700,kWh,-37.71828652,145.0509752
1,35,29.45,95.0,Trina 310W,1 x SolarEdge SE25K,48 x P700,kWh,-37.71828652,145.0509752
1,36,49.83,151.0,Trina 330W,1 x SolarEdge SE27.6K + 1 x SolarEdge SE15K,76 x P730,kWh,-37.71828652,145.0509752
1,37,51.15,155.0,Trina 330W,1 x SolarEdge SE25K + 1 x SolarEdge SE17K,78 x P730,kWh,-37.71828652,145.0509752
1,38,56.76,172.0,Trina 330W,1 x SolarEdge SE50K,86 x P730,kWh,-37.71828652,145.0509752
1,39,47.74,154.0,Trina 310W,1 x SolarEdge SE25K + 1 x SolarEdge SE15K,77 x P700,kWh,-37.71828652,145.0509752
1,40,84.81,257.0,Trina 330W,1 x SolarEdge SE82.8K,129 x P730,kWh,-37.71828652,145.0509752
4,41,,,,,,,-34.20528877,142.166556
5,42,,,,,,,-36.38031889,145.4062897
